radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.071907	0.071908	0.009199	-0.000251	0.000967	0.000828	0.026804	-0.000205
0.071910	0.071911	0.009334	0.000251	0.000967	0.000828	0.026805	-0.000196
0.071920	0.071921	0.009335	-0.000251	0.000968	0.000828	0.026806	-0.000166
0.071953	0.071953	0.009337	0.000000	0.000968	0.000828	0.026809	-0.000071
0.072061	0.072061	0.009343	0.000502	0.000968	0.000828	0.026818	0.000244
0.072418	0.072418	0.009607	0.000502	0.000968	0.000828	0.026850	0.001273
0.073599	0.073600	0.009686	0.002257	0.000970	0.000829	0.026956	0.004619
0.074780	0.074781	0.009785	0.004512	0.000971	0.000830	0.027061	0.007915
0.075962	0.075962	0.010152	0.008020	0.000973	0.000831	0.027167	0.011163
0.077143	0.077144	0.010905	0.011520	0.000974	0.000832	0.027271	0.014361
0.078325	0.078325	0.011543	0.016027	0.000976	0.000832	0.027376	0.017511
0.079507	0.079507	0.012148	0.021039	0.000978	0.000833	0.027480	0.020613
0.080688	0.080689	0.012875	0.026547	0.000979	0.000834	0.027584	0.023668
0.081870	0.081871	0.014050	0.033062	0.000981	0.000835	0.027688	0.026676
0.083052	0.083053	0.014992	0.039849	0.000982	0.000835	0.027792	0.029638
0.084234	0.084235	0.016096	0.047118	0.000984	0.000836	0.027895	0.032554
0.085416	0.085417	0.017456	0.054428	0.000985	0.000837	0.027997	0.035425
0.086598	0.086599	0.018576	0.062231	0.000987	0.000837	0.028100	0.038251
0.087781	0.087781	0.020177	0.070825	0.000989	0.000838	0.028202	0.041033
0.088963	0.088963	0.021644	0.079159	0.000990	0.000839	0.028304	0.043771
0.090145	0.090146	0.023593	0.086999	0.000992	0.000840	0.028406	0.046464
0.091328	0.091328	0.024757	0.095095	0.000993	0.000841	0.028507	0.049111
0.092510	0.092511	0.026263	0.102444	0.000995	0.000841	0.028608	0.051714
0.093693	0.093693	0.027966	0.109270	0.000996	0.000842	0.028709	0.054274
0.094876	0.094876	0.029318	0.115568	0.000998	0.000843	0.028809	0.056790
0.096058	0.096059	0.031044	0.121893	0.001000	0.000844	0.028909	0.059264
0.097241	0.097242	0.032001	0.127938	0.001001	0.000845	0.029009	0.061696
0.098424	0.098425	0.033379	0.132950	0.001003	0.000846	0.029108	0.064087
0.099607	0.099607	0.034772	0.138172	0.001004	0.000847	0.029207	0.066437
0.100790	0.100791	0.035998	0.143634	0.001006	0.000848	0.029306	0.068747
0.101973	0.101974	0.037362	0.147812	0.001007	0.000849	0.029405	0.071017
0.103156	0.103157	0.038278	0.152554	0.001009	0.000850	0.029503	0.073248
0.104340	0.104340	0.039876	0.156719	0.001011	0.000851	0.029600	0.075440
0.105523	0.105524	0.041029	0.161576	0.001012	0.000852	0.029698	0.077595
0.106706	0.106707	0.041754	0.166749	0.001014	0.000853	0.029795	0.079712
0.107890	0.107890	0.043135	0.171582	0.001015	0.000853	0.029892	0.081792
0.109073	0.109074	0.044032	0.176691	0.001017	0.000854	0.029988	0.083836
0.110257	0.110258	0.045189	0.181210	0.001018	0.000855	0.030085	0.085844
0.111441	0.111441	0.045832	0.185760	0.001020	0.000856	0.030181	0.087816
0.112625	0.112625	0.046844	0.189670	0.001021	0.000857	0.030276	0.089753
0.113808	0.113809	0.047776	0.193950	0.001023	0.000858	0.030371	0.091655
0.114992	0.114993	0.048612	0.197928	0.001024	0.000859	0.030466	0.093524
0.116176	0.116177	0.049490	0.201603	0.001026	0.000860	0.030561	0.095359
0.117360	0.117361	0.050360	0.205114	0.001027	0.000860	0.030655	0.097161
0.118544	0.118545	0.050935	0.208710	0.001029	0.000861	0.030749	0.098914
0.119728	0.119729	0.051810	0.211864	0.001030	0.000862	0.030843	0.100605
0.120912	0.120913	0.052312	0.215298	0.001032	0.000863	0.030938	0.102234
0.122097	0.122097	0.052977	0.218483	0.001033	0.000864	0.031032	0.103802
0.123281	0.123281	0.053460	0.221422	0.001035	0.000864	0.031126	0.105309
0.124465	0.124465	0.053769	0.224643	0.001036	0.000865	0.031221	0.106756
0.125649	0.125650	0.054092	0.227383	0.001038	0.000866	0.031316	0.108144
0.126833	0.126834	0.054672	0.229879	0.001039	0.000867	0.031411	0.109473
0.128018	0.128018	0.054623	0.233011	0.001041	0.000868	0.031506	0.110744
0.129202	0.129203	0.054473	0.235375	0.001042	0.000869	0.031601	0.111957
0.130387	0.130387	0.054743	0.238029	0.001044	0.000869	0.031696	0.113113
0.131571	0.131571	0.054840	0.241504	0.001045	0.000870	0.031791	0.114212
0.132756	0.132756	0.054653	0.244625	0.001047	0.000871	0.031886	0.115256
0.133940	0.133940	0.054096	0.247630	0.001048	0.000872	0.031982	0.116244
0.135125	0.135125	0.054215	0.250344	0.001050	0.000873	0.032078	0.117178
0.136309	0.136309	0.053962	0.252592	0.001051	0.000874	0.032173	0.118057
0.137494	0.137494	0.053396	0.254783	0.001053	0.000875	0.032269	0.118883
0.138678	0.138679	0.052612	0.256455	0.001054	0.000875	0.032365	0.119655
0.139863	0.139863	0.052361	0.257833	0.001056	0.000876	0.032461	0.120375
0.141048	0.141048	0.051294	0.259042	0.001057	0.000877	0.032558	0.121044
0.142232	0.142232	0.050499	0.259829	0.001059	0.000878	0.032654	0.121676
0.143417	0.143417	0.049843	0.261485	0.001060	0.000879	0.032751	0.122274
0.144602	0.144602	0.049378	0.262368	0.001062	0.000879	0.032847	0.122839
0.145786	0.145787	0.048638	0.263702	0.001063	0.000880	0.032944	0.123371
0.146971	0.146971	0.047868	0.265076	0.001065	0.000881	0.033041	0.123870
0.148156	0.148156	0.047321	0.265656	0.001066	0.000881	0.033138	0.124336
0.149341	0.149341	0.047075	0.266570	0.001068	0.000882	0.033235	0.124770
0.150526	0.150526	0.046179	0.267519	0.001069	0.000883	0.033333	0.125173
0.151711	0.151711	0.045661	0.268666	0.001071	0.000883	0.033430	0.125544
0.152896	0.152896	0.045215	0.269152	0.001072	0.000884	0.033528	0.125883
0.154081	0.154081	0.044382	0.269835	0.001074	0.000885	0.033625	0.126192
0.155266	0.155266	0.044016	0.270157	0.001075	0.000885	0.033723	0.126470
0.156451	0.156451	0.043273	0.270673	0.001077	0.000886	0.033821	0.126718
0.157636	0.157636	0.042791	0.270898	0.001079	0.000887	0.033920	0.126936
0.158821	0.158821	0.042255	0.271252	0.001080	0.000887	0.034018	0.127125
0.160006	0.160006	0.042114	0.270983	0.001082	0.000888	0.034116	0.127284
0.161191	0.161191	0.041552	0.270756	0.001083	0.000888	0.034215	0.127414
0.162376	0.162376	0.041312	0.270402	0.001085	0.000889	0.034314	0.127519
0.163561	0.163561	0.040888	0.269867	0.001086	0.000889	0.034413	0.127600
0.164747	0.164747	0.040538	0.269247	0.001088	0.000890	0.034512	0.127657
0.165932	0.165932	0.040694	0.268830	0.001089	0.000891	0.034611	0.127689
0.167117	0.167117	0.040492	0.268703	0.001091	0.000891	0.034710	0.127698
0.168302	0.168302	0.040216	0.268392	0.001092	0.000892	0.034809	0.127682
0.169488	0.169488	0.040421	0.268104	0.001093	0.000893	0.034909	0.127643
0.169846	0.169846	0.040388	0.268084	0.001094	0.000893	0.034939	0.127627
0.169954	0.169954	0.040268	0.267971	0.001094	0.000893	0.034948	0.127622
0.169987	0.169987	0.040264	0.267971	0.001094	0.000893	0.034951	0.127620
0.169997	0.169997	0.040264	0.267971	0.001094	0.000893	0.034951	0.127620
0.170000	0.170000	0.040356	0.267971	0.001094	0.000893	0.034952	0.127620
