radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.076196	0.076186	-0.353525	-0.038586	0.001036	0.001035	0.040927	-0.185442
0.076199	0.076189	-0.353408	-0.038765	0.001036	0.001035	0.040927	-0.185473
0.076203	0.076193	-0.353471	-0.038779	0.001036	0.001035	0.040927	-0.185513
0.076208	0.076198	-0.353511	-0.038772	0.001036	0.001035	0.040927	-0.185564
0.076214	0.076204	-0.353561	-0.038765	0.001036	0.001035	0.040927	-0.185630
0.076223	0.076212	-0.353633	-0.039130	0.001036	0.001035	0.040928	-0.185714
0.076233	0.076223	-0.353458	-0.038951	0.001036	0.001035	0.040928	-0.185822
0.076247	0.076236	-0.353363	-0.038937	0.001036	0.001034	0.040928	-0.185961
0.076264	0.076254	-0.353593	-0.039123	0.001036	0.001034	0.040928	-0.186139
0.076287	0.076277	-0.353381	-0.039115	0.001036	0.001034	0.040929	-0.186366
0.076316	0.076306	-0.353444	-0.039294	0.001036	0.001034	0.040929	-0.186658
0.076353	0.076343	-0.353359	-0.039473	0.001036	0.001034	0.040930	-0.187033
0.076402	0.076391	-0.353089	-0.039637	0.001035	0.001033	0.040931	-0.187513
0.076464	0.076453	-0.353170	-0.039994	0.001035	0.001033	0.040932	-0.188128
0.076543	0.076533	-0.353125	-0.040521	0.001035	0.001032	0.040934	-0.188917
0.076646	0.076635	-0.353418	-0.041233	0.001034	0.001031	0.040935	-0.189928
0.076778	0.076767	-0.353292	-0.042669	0.001033	0.001030	0.040938	-0.191224
0.076947	0.076937	-0.353324	-0.044288	0.001032	0.001028	0.040941	-0.192885
0.077166	0.077155	-0.353455	-0.046650	0.001030	0.001026	0.040944	-0.195014
0.077446	0.077436	-0.353284	-0.049589	0.001028	0.001022	0.040948	-0.197741
0.077808	0.077797	-0.353040	-0.053497	0.001026	0.001019	0.040953	-0.201237
0.078272	0.078262	-0.352307	-0.058723	0.001023	0.001014	0.040958	-0.205716
0.078870	0.078860	-0.351950	-0.065574	0.001019	0.001008	0.040963	-0.211452
0.079639	0.079629	-0.352252	-0.074225	0.001014	0.001001	0.040966	-0.218798
0.080628	0.080618	-0.354555	-0.085368	0.001007	0.000991	0.040967	-0.228200
0.081900	0.081890	-0.356975	-0.098800	0.000999	0.000979	0.040960	-0.240193
0.083536	0.083527	-0.358683	-0.115591	0.000988	0.000964	0.040940	-0.255477
0.085173	0.085164	-0.363866	-0.131864	0.000977	0.000949	0.040904	-0.270695
0.086809	0.086800	-0.371354	-0.147732	0.000965	0.000934	0.040854	-0.285854
0.088446	0.088437	-0.381503	-0.162976	0.000954	0.000919	0.040788	-0.300951
0.090083	0.090075	-0.393560	-0.179116	0.000941	0.000904	0.040707	-0.315996
0.091721	0.091713	-0.406666	-0.195269	0.000928	0.000889	0.040611	-0.330966
0.093359	0.093351	-0.420611	-0.209986	0.000915	0.000875	0.040499	-0.345854
0.094997	0.094989	-0.434644	-0.223799	0.000903	0.000860	0.040373	-0.360668
0.096636	0.096628	-0.450445	-0.237921	0.000890	0.000846	0.040231	-0.375415
0.098275	0.098267	-0.467192	-0.253502	0.000877	0.000832	0.040075	-0.390104
0.099915	0.099907	-0.484752	-0.268270	0.000865	0.000819	0.039905	-0.404705
0.101554	0.101547	-0.502715	-0.280909	0.000852	0.000805	0.039721	-0.419213
0.103194	0.103187	-0.520839	-0.293927	0.000840	0.000791	0.039524	-0.433631
0.104834	0.104827	-0.539008	-0.307448	0.000827	0.000778	0.039315	-0.447958
