radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.104301	0.104302	0.688352	0.032264	0.000584	0.000588	0.030022	0.309538
0.104304	0.104305	0.688078	0.032528	0.000584	0.000588	0.030022	0.309543
0.104313	0.104315	0.688378	0.032801	0.000584	0.000588	0.030022	0.309556
0.104340	0.104342	0.688378	0.032520	0.000584	0.000588	0.030023	0.309595
0.104425	0.104427	0.687666	0.032520	0.000584	0.000588	0.030027	0.309714
0.104684	0.104686	0.686815	0.033312	0.000584	0.000588	0.030039	0.310076
0.105473	0.105475	0.684931	0.035152	0.000584	0.000588	0.030073	0.311168
0.106262	0.106263	0.683434	0.037010	0.000584	0.000588	0.030108	0.312253
0.107050	0.107052	0.682168	0.038849	0.000584	0.000588	0.030142	0.313330
0.107839	0.107841	0.681326	0.040169	0.000584	0.000588	0.030176	0.314397
0.108628	0.108630	0.680549	0.042533	0.000584	0.000588	0.030210	0.315453
0.109417	0.109419	0.679759	0.043864	0.000585	0.000588	0.030243	0.316499
0.110206	0.110207	0.679655	0.046263	0.000585	0.000588	0.030277	0.317535
0.110995	0.110996	0.678334	0.047834	0.000585	0.000588	0.030310	0.318560
0.111784	0.111785	0.678075	0.049734	0.000585	0.000588	0.030343	0.319574
0.112573	0.112574	0.677480	0.052152	0.000585	0.000588	0.030376	0.320578
0.113362	0.113363	0.676735	0.054059	0.000585	0.000588	0.030408	0.321570
0.114151	0.114152	0.675805	0.055984	0.000585	0.000588	0.030441	0.322550
0.114939	0.114941	0.674598	0.057603	0.000586	0.000588	0.030473	0.323519
0.115728	0.115730	0.673941	0.059504	0.000586	0.000588	0.030506	0.324473
0.116517	0.116519	0.672973	0.062137	0.000586	0.000588	0.030538	0.325412
0.117306	0.117307	0.671777	0.063394	0.000586	0.000588	0.030571	0.326338
0.118095	0.118096	0.671447	0.065705	0.000586	0.000588	0.030603	0.327251
0.118884	0.118885	0.671052	0.067184	0.000586	0.000588	0.030636	0.328154
0.119673	0.119674	0.670594	0.069165	0.000586	0.000588	0.030668	0.329043
0.120461	0.120462	0.670714	0.071083	0.000587	0.000588	0.030701	0.329918
0.121250	0.121251	0.670282	0.073194	0.000587	0.000588	0.030734	0.330778
0.122039	0.122040	0.669714	0.074469	0.000587	0.000588	0.030766	0.331623
0.122828	0.122829	0.668814	0.076752	0.000587	0.000588	0.030799	0.332455
0.123617	0.123618	0.668478	0.077942	0.000587	0.000589	0.030832	0.333273
0.124406	0.124407	0.667492	0.080086	0.000587	0.000589	0.030865	0.334077
0.125195	0.125195	0.666389	0.081676	0.000587	0.000589	0.030898	0.334867
0.125984	0.125984	0.665300	0.083205	0.000587	0.000589	0.030931	0.335643
0.126773	0.126773	0.664547	0.085196	0.000588	0.000589	0.030964	0.336407
0.127561	0.127562	0.663237	0.086575	0.000588	0.000589	0.030997	0.337157
0.128350	0.128351	0.662209	0.088139	0.000588	0.000589	0.031030	0.337895
0.129139	0.129140	0.661266	0.089655	0.000588	0.000589	0.031064	0.338620
0.129928	0.129929	0.660216	0.091103	0.000588	0.000589	0.031097	0.339333
0.130717	0.130718	0.658948	0.092723	0.000588	0.000589	0.031130	0.340033
0.131506	0.131506	0.658148	0.094269	0.000588	0.000589	0.031163	0.340718
0.132295	0.132295	0.656193	0.095741	0.000588	0.000589	0.031197	0.341387
0.133084	0.133084	0.654989	0.097207	0.000589	0.000589	0.031230	0.342040
0.133872	0.133873	0.653839	0.098415	0.000589	0.000589	0.031264	0.342672
0.134661	0.134661	0.653785	0.099669	0.000589	0.000589	0.031297	0.343284
0.135450	0.135450	0.653188	0.100719	0.000589	0.000589	0.031331	0.343874
0.136238	0.136239	0.652627	0.101980	0.000589	0.000589	0.031365	0.344443
0.137027	0.137027	0.652267	0.102841	0.000589	0.000589	0.031398	0.344990
0.137816	0.137816	0.652097	0.103713	0.000589	0.000589	0.031432	0.345516
0.138604	0.138604	0.652571	0.104620	0.000590	0.000589	0.031466	0.346023
0.139393	0.139393	0.652943	0.105318	0.000590	0.000589	0.031500	0.346509
0.140181	0.140181	0.653631	0.106078	0.000590	0.000590	0.031534	0.346974
0.140970	0.140970	0.654091	0.106634	0.000590	0.000590	0.031568	0.347416
0.141758	0.141758	0.654328	0.106844	0.000590	0.000590	0.031602	0.347837
0.142547	0.142546	0.654972	0.107702	0.000590	0.000590	0.031636	0.348236
0.143335	0.143335	0.655269	0.107929	0.000590	0.000590	0.031670	0.348615
0.144123	0.144123	0.655998	0.107916	0.000591	0.000590	0.031705	0.348974
0.144912	0.144911	0.656538	0.107973	0.000591	0.000590	0.031739	0.349311
0.145700	0.145700	0.657505	0.108122	0.000591	0.000590	0.031774	0.349629
0.146488	0.146488	0.658625	0.108081	0.000591	0.000590	0.031808	0.349926
0.147276	0.147276	0.659913	0.108086	0.000591	0.000590	0.031843	0.350203
0.148064	0.148064	0.661351	0.107713	0.000591	0.000590	0.031877	0.350461
0.148852	0.148852	0.662258	0.107598	0.000592	0.000590	0.031912	0.350705
0.149640	0.149640	0.663371	0.107627	0.000592	0.000591	0.031947	0.350945
0.150428	0.150428	0.664527	0.107045	0.000592	0.000591	0.031981	0.351181
0.151216	0.151216	0.665555	0.107240	0.000592	0.000591	0.032015	0.351414
0.152004	0.152003	0.666045	0.106360	0.000592	0.000591	0.032049	0.351642
0.152792	0.152791	0.666921	0.106324	0.000592	0.000591	0.032084	0.351867
0.153579	0.153579	0.667581	0.105891	0.000593	0.000591	0.032117	0.352088
0.154367	0.154366	0.668514	0.105833	0.000593	0.000591	0.032151	0.352305
0.155155	0.155154	0.669257	0.105546	0.000593	0.000591	0.032185	0.352520
0.155942	0.155941	0.670387	0.105260	0.000593	0.000591	0.032219	0.352731
0.156730	0.156729	0.671137	0.104582	0.000593	0.000591	0.032252	0.352940
0.157517	0.157516	0.672038	0.104670	0.000593	0.000591	0.032285	0.353145
0.158304	0.158303	0.672458	0.104161	0.000594	0.000591	0.032319	0.353344
0.159092	0.159091	0.672472	0.103882	0.000594	0.000591	0.032352	0.353538
0.159879	0.159878	0.672265	0.103519	0.000594	0.000592	0.032385	0.353727
0.160667	0.160666	0.672319	0.103384	0.000594	0.000592	0.032418	0.353913
0.161454	0.161453	0.671774	0.102843	0.000595	0.000592	0.032451	0.354097
0.162241	0.162240	0.672272	0.102487	0.000595	0.000592	0.032483	0.354280
0.163029	0.163027	0.672784	0.102315	0.000595	0.000592	0.032516	0.354460
0.163816	0.163815	0.673821	0.101582	0.000595	0.000592	0.032548	0.354640
0.164603	0.164602	0.674509	0.101357	0.000595	0.000592	0.032580	0.354816
0.165391	0.165389	0.674993	0.101214	0.000596	0.000592	0.032613	0.354988
0.166178	0.166177	0.675054	0.100470	0.000596	0.000592	0.032645	0.355154
0.166965	0.166964	0.674658	0.100250	0.000596	0.000592	0.032677	0.355314
0.167753	0.167751	0.673997	0.099669	0.000596	0.000592	0.032709	0.355468
0.168540	0.168538	0.673098	0.099348	0.000596	0.000592	0.032740	0.355621
0.169327	0.169326	0.672270	0.098483	0.000597	0.000592	0.032772	0.355771
0.169586	0.169584	0.672172	0.098362	0.000597	0.000592	0.032782	0.355821
0.169671	0.169669	0.672235	0.098583	0.000597	0.000592	0.032786	0.355838
0.169698	0.169697	0.672439	0.098583	0.000597	0.000592	0.032787	0.355844
0.169707	0.169706	0.672153	0.098180	0.000597	0.000592	0.032787	0.355846
0.169710	0.169709	0.672256	0.098583	0.000597	0.000592	0.032787	0.355846
