radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet
0.071907	0.075137	0.527057	-0.014389	0.000967	0.000828
0.071910	0.075140	0.534807	0.014392	0.000967	0.000828
0.071920	0.075150	0.534879	-0.014389	0.000968	0.000828
0.071953	0.075182	0.534952	0.000000	0.000968	0.000828
0.072061	0.075288	0.535314	0.028770	0.000968	0.000828
0.072418	0.075637	0.550457	0.028763	0.000968	0.000828
0.073599	0.076781	0.554980	0.129336	0.000970	0.000829
0.074780	0.077925	0.560651	0.258540	0.000971	0.000830
0.075962	0.079069	0.581663	0.459505	0.000973	0.000831
0.077143	0.080213	0.624826	0.660027	0.000974	0.000832
0.078325	0.081357	0.661339	0.918261	0.000976	0.000832
0.079507	0.082501	0.696019	1.205445	0.000978	0.000833
0.080688	0.083644	0.737705	1.521024	0.000979	0.000834
0.081870	0.084788	0.805022	1.894334	0.000981	0.000835
0.083052	0.085931	0.858999	2.283151	0.000982	0.000835
0.084234	0.087075	0.922246	2.699682	0.000984	0.000836
0.085416	0.088218	1.000148	3.118480	0.000985	0.000837
0.086598	0.089361	1.064333	3.565579	0.000987	0.000837
0.087781	0.090505	1.156069	4.057958	0.000989	0.000838
0.088963	0.091648	1.240102	4.535497	0.000990	0.000839
0.090145	0.092791	1.351754	4.984698	0.000992	0.000840
0.091328	0.093934	1.418463	5.448519	0.000993	0.000841
0.092510	0.095077	1.504759	5.869600	0.000995	0.000841
0.093693	0.096221	1.602362	6.260698	0.000996	0.000842
0.094876	0.097364	1.679810	6.621542	0.000998	0.000843
0.096058	0.098507	1.778711	6.983973	0.001000	0.000844
0.097241	0.099650	1.833527	7.330281	0.001001	0.000845
0.098424	0.100793	1.912468	7.617457	0.001003	0.000846
0.099607	0.101936	1.992278	7.916654	0.001004	0.000847
0.100790	0.103079	2.062548	8.229634	0.001006	0.000848
0.101973	0.104222	2.140703	8.469031	0.001007	0.000849
0.103156	0.105365	2.193145	8.740709	0.001009	0.000850
