radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet
0.076196	0.081991	-20.255473	-2.210806	0.001036	0.001035
0.076199	0.081994	-20.248783	-2.221061	0.001036	0.001035
0.076203	0.081998	-20.252389	-2.221889	0.001036	0.001035
0.076208	0.082002	-20.254716	-2.221475	0.001036	0.001035
0.076214	0.082008	-20.257569	-2.221061	0.001036	0.001035
0.076223	0.082016	-20.261707	-2.241978	0.001036	0.001035
0.076233	0.082025	-20.251631	-2.231729	0.001036	0.001035
0.076247	0.082038	-20.246219	-2.230898	0.001036	0.001034
0.076264	0.082054	-20.259375	-2.241561	0.001036	0.001034
0.076287	0.082075	-20.247262	-2.241144	0.001036	0.001034
0.076316	0.082101	-20.250871	-2.251386	0.001036	0.001034
0.076353	0.082135	-20.245978	-2.261624	0.001036	0.001034
0.076402	0.082178	-20.230529	-2.271013	0.001035	0.001033
0.076464	0.082233	-20.235175	-2.291462	0.001035	0.001033
0.076543	0.082305	-20.232599	-2.321674	0.001035	0.001032
0.076646	0.082396	-20.249350	-2.362471	0.001034	0.001031
0.076778	0.082513	-20.242158	-2.444780	0.001033	0.001030
0.076947	0.082663	-20.243966	-2.537500	0.001032	0.001028
0.077166	0.082856	-20.251492	-2.672853	0.001030	0.001026
0.077446	0.083103	-20.241667	-2.841237	0.001028	0.001022
0.077808	0.083419	-20.227708	-3.065162	0.001026	0.001019
0.078272	0.083824	-20.185731	-3.364592	0.001023	0.001014
0.078870	0.084344	-20.165222	-3.757092	0.001019	0.001008
0.079639	0.085009	-20.182538	-4.252791	0.001014	0.001001
0.080628	0.085860	-20.314522	-4.891249	0.001007	0.000991
0.081900	0.086951	-20.453164	-5.660818	0.000999	0.000979
0.083536	0.088346	-20.551038	-6.622866	0.000988	0.000964
0.085173	0.089739	-20.847958	-7.555248	0.000977	0.000949
0.086809	0.091128	-21.277038	-8.464434	0.000965	0.000934
0.088446	0.092515	-21.858494	-9.337858	0.000954	0.000919
0.090083	0.093900	-22.549319	-10.262614	0.000941	0.000904
0.091721	0.095283	-23.300247	-11.188069	0.000928	0.000889
0.093359	0.096665	-24.099256	-12.031324	0.000915	0.000875
0.094997	0.098046	-24.903292	-12.822746	0.000903	0.000860
0.096636	0.099425	-25.808587	-13.631870	0.000890	0.000846
0.098275	0.100804	-26.768153	-14.524573	0.000877	0.000832
0.099915	0.102182	-27.774246	-15.370713	0.000865	0.000819
0.101554	0.103561	-28.803434	-16.094883	0.000852	0.000805
0.103194	0.104940	-29.841850	-16.840756	0.000840	0.000791
0.104834	0.106319	-30.882905	-17.615461	0.000827	0.000778
0.106474	0.107698	-31.988075	-18.315213	0.000815	0.000765
0.108113	0.109079	-33.048254	-19.049470	0.000803	0.000752
0.109753	0.110460	-33.939839	-19.780633	0.000791	0.000740
0.111392	0.111843	-34.855238	-20.568885	0.000780	0.000727
0.113031	0.113227	-35.754109	-21.300019	0.000768	0.000715
0.114669	0.114613	-36.748662	-22.171261	0.000757	0.000703
0.116307	0.116000	-37.656144	-22.966039	0.000746	0.000691
0.117944	0.117390	-38.458194	-23.693154	0.000736	0.000680
0.119581	0.118781	-39.245274	-24.414574	0.000725	0.000669
0.121217	0.120174	-39.993429	-25.187530	0.000715	0.000658
0.122852	0.121569	-40.780412	-25.987852	0.000705	0.000647
0.124486	0.122967	-41.503780	-26.740589	0.000696	0.000637
0.126119	0.124367	-42.232829	-27.423887	0.000686	0.000627
0.127751	0.125770	-42.942494	-28.204516	0.000677	0.000618
0.129383	0.127175	-43.599024	-28.987061	0.000669	0.000609
0.131014	0.128583	-44.218187	-29.761680	0.000660	0.000600
0.132643	0.129993	-44.837264	-30.462055	0.000652	0.000592
0.134272	0.131406	-45.409797	-31.146122	0.000645	0.000584
0.135900	0.132821	-45.981220	-31.815070	0.000637	0.000577
0.137527	0.134239	-46.589286	-32.604324	0.000630	0.000570
0.139154	0.135659	-47.061976	-33.443784	0.000623	0.000563
0.140780	0.137081	-47.569824	-34.326278	0.000617	0.000557
0.142405	0.138506	-48.083951	-35.134193	0.000611	0.000551
