radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.095263	0.099155	-36.816088	-6.204966	0.000831	0.000755	0.036603	-21.169441
0.095266	0.099158	-36.810565	-6.206051	0.000831	0.000755	0.036603	-21.171030
0.095270	0.099162	-36.821611	-6.213858	0.000831	0.000755	0.036603	-21.173050
0.095275	0.099166	-36.825745	-6.204966	0.000831	0.000755	0.036603	-21.175612
0.095281	0.099172	-36.818834	-6.202797	0.000831	0.000755	0.036602	-21.178864
0.095289	0.099179	-36.817445	-6.212772	0.000831	0.000755	0.036602	-21.182991
0.095299	0.099188	-36.824358	-6.212772	0.000830	0.000755	0.036601	-21.188233
0.095312	0.099200	-36.828494	-6.221659	0.000830	0.000755	0.036601	-21.194887
0.095328	0.099215	-36.834017	-6.219485	0.000830	0.000755	0.036600	-21.203332
0.095349	0.099234	-36.838154	-6.228366	0.000830	0.000755	0.036598	-21.214052
0.095376	0.099257	-36.858851	-6.233978	0.000830	0.000754	0.036597	-21.227663
0.095410	0.099288	-36.862993	-6.252805	0.000830	0.000754	0.036595	-21.244938
0.095453	0.099326	-36.886462	-6.260577	0.000829	0.000754	0.036592	-21.266864
0.095508	0.099375	-36.898893	-6.287146	0.000829	0.000753	0.036589	-21.294696
0.095579	0.099438	-36.921000	-6.312585	0.000828	0.000753	0.036585	-21.330018
0.095669	0.099517	-36.950059	-6.384303	0.000828	0.000752	0.036580	-21.374848
0.095783	0.099617	-36.967988	-6.460313	0.000826	0.000751	0.036574	-21.431740
0.095929	0.099745	-36.997010	-6.555696	0.000825	0.000750	0.036565	-21.503944
0.096115	0.099907	-37.082369	-6.736555	0.000822	0.000747	0.036555	-21.595620
0.096352	0.100113	-37.156677	-6.931820	0.000819	0.000745	0.036541	-21.712020
0.096654	0.100374	-37.277602	-7.190131	0.000816	0.000742	0.036523	-21.859861
0.097039	0.100706	-37.464885	-7.488345	0.000811	0.000738	0.036500	-22.047635
0.097530	0.101128	-37.694488	-7.826864	0.000806	0.000734	0.036469	-22.285601
0.098156	0.101663	-37.920952	-8.262909	0.000800	0.000728	0.036430	-22.586270
0.098953	0.102343	-38.106723	-8.814336	0.000792	0.000721	0.036379	-22.966232
0.099969	0.103206	-38.396798	-9.510859	0.000782	0.000712	0.036311	-23.447737
0.101264	0.104303	-38.862483	-10.390622	0.000769	0.000701	0.036220	-24.057421
0.102559	0.105399	-39.288917	-11.242081	0.000757	0.000690	0.036124	-24.664590
0.103853	0.106494	-39.655816	-12.108771	0.000745	0.000680	0.036023	-25.269588
0.105147	0.107589	-39.983790	-12.949116	0.000733	0.000670	0.035917	-25.873007
0.106441	0.108684	-40.292724	-13.807519	0.000721	0.000660	0.035806	-26.475027
0.107735	0.109778	-40.590006	-14.687707	0.000710	0.000651	0.035690	-27.074499
0.109028	0.110873	-40.841153	-15.541112	0.000699	0.000642	0.035569	-27.671003
0.110322	0.111968	-41.146726	-16.467225	0.000690	0.000634	0.035442	-28.264403
0.111615	0.113063	-41.445918	-17.395052	0.000681	0.000626	0.035310	-28.854740
0.112908	0.114159	-41.744877	-18.295145	0.000672	0.000619	0.035172	-29.442182
0.114200	0.115254	-42.001320	-19.208472	0.000665	0.000613	0.035029	-30.026816
0.115493	0.116351	-42.250522	-20.103017	0.000658	0.000607	0.034880	-30.608816
0.116785	0.117448	-42.453733	-21.004886	0.000651	0.000602	0.034727	-31.188380
0.118078	0.118545	-42.660797	-21.888906	0.000646	0.000598	0.034568	-31.765688
0.119370	0.119643	-42.859879	-22.748606	0.000641	0.000594	0.034403	-32.340920
0.120663	0.120742	-43.125486	-23.596165	0.000636	0.000590	0.034233	-32.914326
0.121955	0.121841	-43.381600	-24.420558	0.000632	0.000587	0.034058	-33.486084
0.123247	0.122941	-43.702750	-25.216349	0.000629	0.000585	0.033878	-34.056481
