radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet	chord_axial	stagger
0.086263	0.092682	36.395938	0.546236	0.000583	0.000589	0.030532	15.765204
0.086266	0.092685	36.393526	0.515891	0.000583	0.000589	0.030532	15.765716
0.086275	0.092695	36.380007	0.531063	0.000583	0.000589	0.030532	15.767359
0.086306	0.092725	36.384834	0.546236	0.000583	0.000589	0.030533	15.772610
0.086403	0.092819	36.337606	0.576122	0.000583	0.000589	0.030535	15.789232
0.086715	0.093115	36.147606	0.620453	0.000584	0.000589	0.030543	15.841771
0.087714	0.094048	35.736598	0.812652	0.000584	0.000589	0.030567	16.009120
0.088714	0.094981	35.375389	1.019017	0.000584	0.000589	0.030590	16.175516
0.089714	0.095914	35.226662	1.223636	0.000585	0.000589	0.030613	16.341052
0.090714	0.096847	35.183656	1.413505	0.000585	0.000589	0.030635	16.505681
0.091715	0.097779	35.278089	1.617508	0.000585	0.000589	0.030657	16.669026
0.092716	0.098712	35.334471	1.777421	0.000585	0.000589	0.030678	16.830663
0.093718	0.099645	35.405483	1.967289	0.000585	0.000589	0.030700	16.990610
0.094720	0.100577	35.467908	2.157180	0.000585	0.000589	0.030721	17.148879
0.095723	0.101510	35.531475	2.361375	0.000586	0.000589	0.030742	17.305469
0.096726	0.102442	35.634783	2.508132	0.000586	0.000589	0.030762	17.460395
0.097729	0.103374	35.763428	2.670882	0.000586	0.000589	0.030782	17.613574
0.098733	0.104306	35.794651	2.849141	0.000586	0.000589	0.030802	17.764567
0.099736	0.105238	35.800055	3.001137	0.000586	0.000589	0.030823	17.913354
0.100741	0.106170	35.856553	3.165070	0.000587	0.000589	0.030843	18.060003
0.101745	0.107102	35.960517	3.329980	0.000587	0.000589	0.030863	18.204526
0.102750	0.108034	36.034771	3.481216	0.000587	0.000589	0.030883	18.346688
0.103754	0.108966	36.147369	3.629902	0.000587	0.000589	0.030904	18.486383
0.104760	0.109898	36.220300	3.761897	0.000587	0.000589	0.030925	18.623614
0.105765	0.110830	36.271304	3.909553	0.000588	0.000589	0.030946	18.758395
0.106770	0.111761	36.338401	4.066668	0.000588	0.000589	0.030967	18.890806
0.107776	0.112693	36.393416	4.211853	0.000588	0.000590	0.030988	19.020981
0.108782	0.113624	36.425632	4.338774	0.000588	0.000590	0.031010	19.148920
0.109788	0.114556	36.526546	4.464178	0.000588	0.000590	0.031031	19.274655
0.110794	0.115488	36.644044	4.617261	0.000589	0.000590	0.031053	19.398175
0.111800	0.116419	36.745008	4.741722	0.000589	0.000590	0.031074	19.519427
0.112806	0.117351	36.866086	4.875365	0.000589	0.000590	0.031096	19.638417
0.113813	0.118283	36.957541	4.979216	0.000589	0.000590	0.031118	19.755138
0.114819	0.119215	37.031187	5.112774	0.000589	0.000590	0.031140	19.869613
0.115826	0.120146	37.129093	5.210175	0.000589	0.000590	0.031163	19.981881
0.116833	0.121078	37.221587	5.325253	0.000590	0.000590	0.031185	20.091973
0.117839	0.122010	37.377259	5.435555	0.000590	0.000590	0.031208	20.199901
0.118846	0.122942	37.506387	5.555150	0.000590	0.000590	0.031230	20.305671
0.119853	0.123874	37.599301	5.677915	0.000590	0.000590	0.031253	20.409180
0.120860	0.124806	37.622076	5.765746	0.000590	0.000590	0.031276	20.510195
0.121867	0.125738	37.655817	5.878013	0.000590	0.000590	0.031300	20.608730
0.122874	0.126670	37.603202	5.978067	0.000591	0.000590	0.031324	20.704784
0.123880	0.127602	37.770000	6.088157	0.000591	0.000590	0.031347	20.797942
0.124887	0.128534	37.952917	6.197126	0.000591	0.000591	0.031372	20.886192
0.125894	0.129466	38.094873	6.277436	0.000591	0.000591	0.031397	20.969141
0.126901	0.130398	38.217981	6.349339	0.000591	0.000591	0.031423	21.046823
0.127908	0.131330	38.255533	6.443362	0.000591	0.000591	0.031450	21.119255
0.128915	0.132262	38.282962	6.541165	0.000592	0.000591	0.031478	21.186657
0.129922	0.133194	38.325668	6.626217	0.000592	0.000591	0.031506	21.249183
0.130930	0.134126	38.390056	6.686816	0.000592	0.000591	0.031535	21.306850
0.131937	0.135059	38.437639	6.760476	0.000592	0.000591	0.031565	21.359687
0.132944	0.135991	38.486185	6.836873	0.000592	0.000591	0.031595	21.407702
0.133951	0.136923	38.571163	6.911227	0.000593	0.000591	0.031626	21.450869
0.134958	0.137855	38.616409	6.986770	0.000593	0.000591	0.031658	21.489205
0.135965	0.138787	38.659808	7.026939	0.000593	0.000591	0.031691	21.522731
0.136972	0.139720	38.728786	7.091845	0.000593	0.000591	0.031725	21.551442
0.137979	0.140652	38.752172	7.173028	0.000593	0.000591	0.031759	21.575055
0.138986	0.141584	38.699526	7.237341	0.000593	0.000591	0.031794	21.593512
0.139993	0.142516	38.591508	7.278372	0.000594	0.000591	0.031830	21.606820
0.141000	0.143449	38.394262	7.319261	0.000594	0.000592	0.031867	21.615009
0.142007	0.144381	38.324496	7.350259	0.000594	0.000592	0.031904	21.619393
0.143014	0.145313	38.622179	7.396013	0.000594	0.000592	0.031941	21.621251
0.144021	0.146245	38.905883	7.443387	0.000594	0.000592	0.031979	21.620821
0.145027	0.147178	38.998550	7.488961	0.000594	0.000592	0.032017	21.618263
0.146034	0.148110	38.883433	7.516169	0.000595	0.000592	0.032055	21.614008
0.147040	0.149042	38.774279	7.554612	0.000595	0.000592	0.032094	21.609349
0.148046	0.149975	38.700379	7.579878	0.000595	0.000592	0.032132	21.604393
0.149052	0.150907	38.695008	7.627569	0.000595	0.000592	0.032170	21.599144
0.150058	0.151839	38.732519	7.653357	0.000595	0.000592	0.032208	21.593590
0.151063	0.152772	38.778829	7.682445	0.000596	0.000592	0.032246	21.587538
0.152069	0.153704	38.842841	7.693271	0.000596	0.000592	0.032284	21.580924
0.153074	0.154637	38.909081	7.727905	0.000596	0.000592	0.032322	21.573748
0.154080	0.155569	38.959435	7.746037	0.000596	0.000592	0.032360	21.566013
0.155085	0.156502	38.997949	7.735165	0.000596	0.000592	0.032398	21.557704
0.156090	0.157434	39.048843	7.774927	0.000596	0.000592	0.032436	21.548792
0.157095	0.158367	39.090710	7.773163	0.000596	0.000592	0.032474	21.539277
0.158100	0.159300	39.108380	7.794709	0.000597	0.000592	0.032512	21.529163
0.159105	0.160232	39.147479	7.798486	0.000597	0.000593	0.032550	21.518498
0.160110	0.161165	39.226055	7.800526	0.000597	0.000593	0.032588	21.507559
0.161114	0.162098	39.365025	7.814812	0.000597	0.000593	0.032625	21.496388
0.162119	0.163031	39.483728	7.811709	0.000597	0.000593	0.032663	21.485015
0.163124	0.163964	39.566098	7.816957	0.000597	0.000593	0.032700	21.473463
0.164128	0.164897	39.642600	7.806789	0.000597	0.000593	0.032738	21.461725
0.165133	0.165830	39.667245	7.816939	0.000597	0.000593	0.032775	21.449810
0.166137	0.166763	39.675584	7.838918	0.000598	0.000593	0.032813	21.437787
0.167141	0.167696	39.654620	7.816458	0.000598	0.000593	0.032850	21.425717
0.168146	0.168629	39.643309	7.832921	0.000598	0.000593	0.032887	21.413601
0.169150	0.169563	39.603600	7.825689	0.000598	0.000593	0.032924	21.401433
0.169464	0.169859	39.593823	7.829371	0.000598	0.000593	0.032935	21.397670
0.169562	0.169953	39.577794	7.814371	0.000598	0.000593	0.032939	21.396505
0.169593	0.169982	39.578841	7.822903	0.000598	0.000593	0.032940	21.396147
0.169602	0.169992	39.584880	7.824519	0.000598	0.000593	0.032940	21.396037
0.169605	0.169995	39.590917	7.812757	0.000598	0.000593	0.032940	21.396002
