radius_inlet	radius_outlet	metal_angle_inlet	metal_angle_outlet	bld_thick_inlet	bld_thick_outlet
0.117229	0.120989	43.069743	1.757991	0.000596	0.000593
0.117232	0.120992	43.069247	1.757991	0.000596	0.000593
0.117241	0.121001	43.054019	1.757364	0.000596	0.000593
0.117266	0.121026	43.046905	1.756738	0.000596	0.000593
0.117341	0.121097	43.035712	1.796925	0.000596	0.000593
0.117558	0.121303	42.978635	1.831863	0.000596	0.000593
0.118190	0.121894	42.838643	1.875565	0.000596	0.000593
0.118823	0.122486	42.738726	1.934394	0.000596	0.000593
0.119455	0.123077	42.610987	2.027149	0.000596	0.000593
0.120088	0.123668	42.525116	2.131853	0.000596	0.000593
0.120720	0.124259	42.406135	2.175468	0.000596	0.000593
0.121353	0.124850	42.226696	2.222865	0.000596	0.000593
0.121985	0.125441	42.107391	2.273484	0.000596	0.000593
0.122618	0.126032	41.984129	2.326016	0.000596	0.000593
0.123250	0.126622	41.851027	2.414106	0.000596	0.000592
0.123883	0.127213	41.670393	2.522652	0.000596	0.000592
0.124515	0.127804	41.566079	2.633677	0.000597	0.000592
0.125147	0.128394	41.482971	2.677607	0.000597	0.000592
0.125780	0.128985	41.346254	2.794447	0.000597	0.000592
0.126412	0.129575	41.234191	2.881164	0.000597	0.000592
0.127044	0.130165	41.047049	2.985551	0.000598	0.000592
0.127676	0.130755	40.992463	3.056927	0.000598	0.000592
0.128309	0.131346	40.909414	3.162002	0.000598	0.000592
0.128941	0.131936	40.869837	3.215484	0.000598	0.000592
0.129573	0.132526	40.857177	3.284738	0.000598	0.000592
0.130205	0.133116	40.874267	3.358074	0.000598	0.000592
0.130837	0.133705	40.889960	3.428286	0.000598	0.000592
0.131469	0.134295	40.896376	3.482807	0.000598	0.000592
0.132101	0.134885	40.927470	3.555174	0.000598	0.000592
0.132733	0.135475	41.002456	3.591930	0.000598	0.000592
0.133365	0.136065	41.054073	3.645398	0.000597	0.000592
0.133997	0.136655	41.104410	3.696556	0.000597	0.000592
0.134629	0.137245	41.132307	3.765440	0.000597	0.000592
0.135261	0.137834	41.196420	3.814075	0.000597	0.000592
0.135892	0.138424	41.254092	3.881533	0.000597	0.000592
0.136524	0.139014	41.243086	3.926255	0.000597	0.000592
0.137156	0.139604	41.228479	4.007354	0.000597	0.000592
0.137788	0.140194	41.114206	4.066736	0.000596	0.000592
0.138419	0.140783	41.010021	4.149724	0.000596	0.000592
0.139051	0.141373	40.966716	4.242919	0.000596	0.000592
0.139683	0.141963	40.936777	4.315694	0.000596	0.000592
0.140314	0.142553	40.890312	4.400076	0.000596	0.000592
0.140946	0.143142	40.831445	4.445785	0.000597	0.000592
0.141578	0.143732	40.785550	4.525031	0.000597	0.000592
0.142209	0.144322	40.709715	4.564275	0.000597	0.000592
0.142841	0.144911	40.624279	4.657974	0.000597	0.000592
0.143472	0.145501	40.522160	4.692573	0.000597	0.000592
0.144104	0.146091	40.437633	4.771854	0.000598	0.000592
0.144735	0.146680	40.365962	4.791796	0.000598	0.000592
0.145367	0.147270	40.287921	4.788467	0.000598	0.000592
0.145998	0.147860	40.275935	4.804643	0.000598	0.000592
0.146630	0.148449	40.304631	4.860398	0.000598	0.000592
0.147261	0.149039	40.391850	4.851673	0.000598	0.000592
0.147893	0.149629	40.544046	4.862572	0.000598	0.000592
0.148524	0.150218	40.755573	4.863391	0.000598	0.000592
0.149155	0.150808	40.767099	4.846022	0.000598	0.000592
0.149787	0.151397	40.722089	4.868751	0.000598	0.000592
0.150418	0.151987	40.682337	4.846202	0.000598	0.000592
0.151049	0.152577	40.633687	4.843459	0.000598	0.000592
0.151680	0.153166	40.565477	4.859487	0.000598	0.000592
0.152311	0.153756	40.530649	4.862522	0.000598	0.000592
0.152942	0.154345	40.534394	4.881356	0.000597	0.000592
